,address,city,state,zip
1087,12225 Rock Creek Road Auburn,,California,95602
1088,P.O. Box 642Steelville,,Missouri,65565
1089,2505 Dunn Dr. Decatur,,Illinois,62526
1090,220 Snow Hollow Lane McMinnville,,Tennessee,37110
1091,118 Hunts Chapel rd Eatonton,,Georgia,31024
1092,P.O. Box 552McMinnville,,Tennessee,37111
1093,229 West Main Decatur,,Illinois,62523
1094,10415 Chestnut Dr Kansas City,,Missouri,64137
1095,P.O. Box 340405Tampa,,Florida,33694
1096,609 Rivers Ave. Eufaula,,Alabama,36027
1097,1830 Stony Point Rd Santa Rosa,,California,95407
1098,50 Hwy 11 Rison,,Arkansas,71665
1099,8115 Oaklandon Rd. Indianapolis,,Indiana,46236
1100,7900 Precinct Line Road Colleyville,,Texas,76034
1101,1800 S. Stonebridge McKinney,,Texas,75070
1102,42 Elks Trail New Castle,,Delaware,19720
1103,20013 Stoltzman Road Mankato,,Minnesota,56001
1104,538 Oak Street Lakeland,,Georgia,31635
1105,2031 Gardner St Augusta,,Georgia,30904
1106,201 Patton Meadow,,Texas,79345
1107,9185 Utica st Westminster,,Colorado,80401
1108,34639 La Highway 16 Denham Springs,,Louisiana,70706
1109,844 Woods Hole Circle Statesboro,,Georgia,30461
1110,4800 S. Yukon Tulsa,,Oklahoma,74107
1111,730 E. Main St. Vacaville,,California,95688
1112,163 North Fourth St. Black Rock,,Arkansas,72415
1113,15240 Main St. Venedocia,,Ohio,45894
1114,P.O. Box 908Robertsdale,,Alabama,36567
1115,11630 Birwood Detroit,,Michigan,48204
1116,619 E Ellm Lima,,Ohio,45804
1117,402 W Plane St. Bethel,,Ohio,45106
1118,1008 Boyne Ave. Boyne City,,Michigan,49712
1119,3158 Hwy 83 Seeley Lake,,Montana,59868
1120,49 N. Bowlan Street Jacksonville,,Florida,32211
1121,495 Industry Road Lancaster,,Kentucky,40444
1122,2153 Kempsville Road Virginia Beach,,Virginia,23464
1123,9644 Cedar Street Bellflower,,California,90706
1124,P.O. Box 906Plainfield,,Indiana,46168
1125,755 204th Street Pasadena,,Maryland,21122
1126,5055 Wallings Road Broadview Heights,,Ohio,44147
1127,143 Church St Sterlington,,Louisiana,71280
1128,5001 Newport Coast Drive  Irvine,,California,92603
1129,1520 Appersonway North Kokomo,,Indiana,46901
1130,1150 County Road One Palm Harbor,,Florida,34683
1131,11012 Elm Street Princess Anne,,Maryland,21853
1132,2160 Crozier ave Muskegon,,Michigan,49441
1133,314 N. Rose HIll Rd. Rose Hill,,Kansas,67133
1134,101 Smith Street Lowell,,Massachusetts,01851
1135,P.O. Box 729Lineville,,Alabama,36266
1136,P.O. Box 83- 805 Bardstown Rd Springfield,,Kentucky,40069
1137,615 Rainey Blvd Wauchula,,Florida,33873
1138,50486 Lester Ln Lorangerr,,Louisiana,70446
1139,3901 Jimmy Johnson  Port Arthur,,Texas,77642
1140,10 Frederick Street Framingham,,Massachusetts,01701
1141,1014 W 21st Ave Covington,,Louisiana,70420
1142,2044 Dry Valley Rd. NE Cleveland,,Tennessee,37312
1143,13179 E. 31st Street Tulsa,,Oklahoma,74134
1144,2356 Rude Rd Poulsbo,,Washington,98370
1145,1336 N. Dorothy Ave. Claremore,,Oklahoma,74017
1146,3520 SW 97 Ave Miami,,Florida,33165
1147,206 Rodeo Dr Denham Springs,,Louisiana,70726
1148,2306 Hood Overland,,Missouri,63114
1149,4104 Legato Rd Fairfax,,Virginia,22033
1150,6043 North Lauderdale,,Florida,33068
1151,P.O. Box 238New Stanton,,Pennsylvania,15639
1152,710 Eleventh Ave Greeley,,Colorado,80634
1153,305 Monroe Kosse,,Texas,76653
1154,2401 St. Paul St. Baltimore,,Maryland,21218
1155,701 East I-30 Rockwall,,Texas,75087
1156,1800 Prophet Road Rock Falls,,Illinois,61071
1157,P.O. Box 188Piedmont,,Oklahoma,73078
1158,4832 Cochran Street Simi Valley,,California,93063
1159,1425 6th Street Vero Beach,,Florida,32962
1160,6441 N. Martin Luther King Oklahoma City,,Oklahoma,73111
1161,4900 Harrison Rd Lenoir City,,Tennessee,37771
1162,13000 sanantonio dr norwalk,,California,90650
1163,1440 Camp John Hope Road Fort Valley,,Georgia,31030
1164,1150 Niles Ave NW Atlanta,,Georgia,30318
1165,27600 Fm 1093 Fulshear,,Texas,77441
1166,P.O. Box 62Lillian,,Texas,76061
1167,4824 2nd Ave South St. Petersburg,,Florida,33711
1168,42507 Mt Hope Rd Ashburn,,Virginia,20148
1169,241 Scott Ave Rochelle,,Illinois,61068
1170,1650 W. Foster Ave. Chicago,,Illinois,60640
1171,251 East St. Luling,,Louisiana,70070
1172,2105 Sheridan Rd Pekin,,Illinois,61554
1173,6100 North 19th Street Ozark,,Missouri,65721
1174,P.O. Box 243Granby,,Missouri,64844
1175,1792 E. Michigan Ave Albion,,Michigan,49224
1176,800 E. Britton Rd Oklahoma City,,Oklahoma,73114
1177,8510 Military Pkwy Dallas,,Texas,75227
1178,1435 Cliff Drive Santa Barbara,,California,93109
1179,5312 Houghton Ave Ft Worth,,Texas,76107
1180,106 North Poplar Monterey,,Tennessee,38574
1181,3539 Bradshaw Road Sacramento,,California,95827
1182,124 B NW Miami,,Oklahoma,74354
1183,8019 West Division Rd. Tipton,,Indiana,46072
1184,201 S. Charles St. Red Lion,,Pennsylvania,17356
1185,516 Hutchinson Street Bowie,,Texas,76230
1186,5473 Virginia Beach Blvd. Virginia Beach,,Virginia,23462
1187,222 Sycamore St Columbus,,Indiana,47201
1188,304 No. 7th Street Redlands,,California,92374
1189,16928 East Mews Road Queen Creek,,Arizona,85242
1190,2800 Rodeo Dr. Greenville,,Texas,75402
1191,P.O. Box 1943Independence,,Missouri,64055
1192,P.O. Box 1544Graham,,Texas,76450
1193,1916 8th avenue South Milwaukee,,Wisconsin,53172
1194,1035 Austin Ridge Ct. Piney Flats,,Tennessee,37686
1195,8850 Damascus Road Damascus,,Maryland,20872
1196,670 North Eagle Drive Eagle Lake,,Florida,33839
1197,P.O. Box 92921Southlake,,Texas,76092
1198,8900 Colby Rd Greenville,,Michigan,48838
1199,29 Bernice Spearman,,Texas,79081
1200,226 Lexington Turnpike Amherst,,Virginia,24521
1201,P.O. Box 525Tannersville,,Pennsylvania,18372
1202,6935 Bridle Trail Way Sacramento,,California,95828
1203,504 Clark St. Reinbeck,,Iowa,50669
1204,2101 N. Jackson Russellville,,Alabama,35653
1205,6010 Saint Clair Ave. Cleveland,,Ohio,44109
1206,955 Lawrence Avenue Galesburg,,Illinois,61401
1207,10 Biel Hill Rd. Greenville,,Pennsylvania,16125
1208,6258 hwy 39 north Meridian,,Mississippi,39305
1209,135 N. Oakland Ave. Pasadena,,California,91182
1210,1228 Andrew Drive Dover,,Delaware,19904
1211,3307 North 7th Street Ocean Springs,,Mississippi,39564
1212,2201 Hawthorne Ave. Louisville,,Kentucky,40205
1213,18225 Bushard St. Fountain valley,,California,92708
1214,8100 Hazelton-Etna Rd. SW Pataskala,,Ohio,43062
1215,2124 N. Dean Road Orlando,,Florida,32817
1216,2118 N. 2nd St. Clinton,,Iowa,52732
1217,100 W. Oak St Denton,,Texas,76201
1218,1232 Gretna,,Louisiana,70058
1219,4555 Annistown RD Snellville,,Georgia,30039
1220,8918 Aboite Ctr Rd Ft Wayne,,Indiana,46804
1221,216 N Adams Elk City,,Oklahoma,73644
1222,13001 Gravois Road Sunset Hills,,Missouri,63127
1223,409 South Russell Portland,,Tennessee,37148
1224,5718 Grand Blvd New Port Richey,,Florida,34652
1225,14280 Poway Road Poway,,California,92064
1226,1114 Hite Blvd Enid,,Oklahoma,73115
1227,1100 Alton Gloor Brownsville,,Texas,78562
1228,920 E 14th Plano,,Texas,75074
1229,18621 Sumner Redford,,Michigan,48240
1230,1673 Greenough RD Camilla,,Georgia,31730
1231,P.O. Box 608Kingsland,,Georgia,31548
1232,250 Corporate BlvdPencader Corporate Center Newark,,Delaware,19702
1233,2300 62 Avenue North st.petersburg,,Florida,33714
1234,166 Oak Bottom Road Quarryville,,Pennsylvania,17566
1235,4800 Journey Amarillo,,Texas,79110
1236,5957 Golden West Avenue Temple City,,California,91780
1237,561 orange avenue longwood,,Florida,32746
1238,5353 Hwy 565  Jonesville,,Louisiana,71343
1239,4636 W. Irlo Bronson Memorial Hwy.  Kissimmee,,Florida,34746
1240,1226 Market St NE Navarre,,Ohio,44662
1241,714 N. Harvard Ave. Tulsa,,Oklahoma,74115
1242,401 Bridge St. N. Cannon Falls,,Minnesota,55009
1243,133 E Napier Benton Harbor,,Michigan,49022
1244,290 Sand Island Access Rd. Honolulu,,Hawaii,96819
1245,1725 3rd st Boone,,Iowa,50036
1246,504 Morgan Street Georgiana,,Alabama,36033
1247,6595 Guilford Road Rockford,,Illinois,61107
1248,830 E. Plaza Cir. Litchfield Park,,Arizona,85340
1249,2329 E. Broadway Ave Maryville,,Tennessee,37804
1250,935 W. 11th Avenue Denver,,Colorado,80204
1251,P.O. Box 127Princeton,,Texas,75407
1252,10612 Glenwild Road Silver Spring,,Maryland,20901
1253,1204 E Church St Monroe,,Georgia,30655
1254,2108 W Broadway Sulphur,,Oklahoma,73086
1255,P.O. Box 1534Ames,,Iowa,50014
1256,325 Hill Road Kingsport,,Tennessee,37664
1257,1605 Fairview Road Paragould,,Arkansas,72450
1258,3673 Stockdale Road Munford,,Alabama,36268
1259,4343 North Street Phoenix,,Arizona,85016
1260,1414 N. Chadbourne San Angelo,,Texas,76903
1261,2235 Dawsonville Highway Gainesville,,Georgia,30506
1262,540 rd. Miami,,Oklahoma,74354
1263,1911 N Main Altus,,Oklahoma,73521
1264,6881 St. Rd. 135 N. Morgantown,,Indiana,46160
1265,1351 Morgan Ave Williamsport,,Pennsylvania,17701
1266,216 w wilson liberal,,Kansas,67901
1267,P.O. Box 422Gloster,,Mississippi,39638
1268,199 VZCR 3448 Wills Point,,Texas,75169
1269,25045 w newberry road newberry,,Florida,32669
1270,5477 Roberts Drive Dunwoody,,Georgia,30338
1271,P.O. Box 91Quinton,,Virginia,23141
1272,220 Church St. Dover,,Tennessee,37058
1273,605 Powell lane Flatwoods,,Kentucky,41139
1274,620 24th Ave W Menomonie,,Wisconsin,54751
1275,P.O. Box 3206Mission Viejo,,California,92690
1276,4483 Broadway St. South Salem,,Ohio,45681
1277,22083 Co. Hwy. 10 Fergus Falls,,Minnesota,56537
1278,43260 Challenger Way Lancaster,,California,93535
1279,1312 Spring Creek Rd. Chattanooga,,Tennessee,37036
1280,4301 Patterson Avenue Richmond,,Virginia,23221
1281,3550 Snell Avenue San Jose,,California,95136
1282,P.O. Box 52Taylor,,Pennsylvania,18517
1283,1348 GA 92 South Fayetteville,,Georgia,30215
1284,11202 W Joblanca Avondale,,Arizona,85323
1285,2596 Hwy. 65 N Dermott,,Arkansas,71638
1286,38 CR 132 Quitman,,Mississippi,39355
1287,7310 NW Prairie View Road Kansas City,,Missouri,64151
1288,1295 Smyrna Rd Conyers,,Georgia,30094
1289,1825 South 29th Street Philadelphia,,Pennsylvania,19145
1290,1654 W. Gore Rd. Erie,,Pennsylvania,16509
1291,1403 R Street Bedford,,Indiana,47421
1292,1 Amarillo,,Texas,79159
1293,1420 Yale Street Santa Monica,,California,90404
1294,221 W. Main Street Titusville,,Pennsylvania,16354
1295,20290 Wood Howell Rd. Bristol,,Virginia,24202
1296,14790 E 206th St Noblesville,,Indiana,46060
1297,P.O. Box 571Franklin,,Virginia,23851
1298,931 Cassat Ave Jacksonville,,Florida,32205
1299,1037 R St Bedford,,Indiana,47421
1300,7075 Pyramid Hwy. Sparks,,Nevada,89436
1301,7201 Country Club Dr. Waco,,Texas,76710
1302,12501 Old Columbia Pike Silver Spring,,Maryland,20904
1303,P.O. Box 451Pratt,,Kansas,67124
1304,12263 CHISHOLM ST. N.E. BLAINE,,Minnesota,55449
1305,7406 S. Saginaw New Lothrop,,Michigan,48460
1306,271 Plainfield Road Eastman,,Georgia,31023
1307,320 Darbytown Road Hohenwald,,Tennessee,38462
1308,P.O. Box 505Big Sandy,,Montana,59520
1309,P.O. Box 726Libertyville,,Illinois,60048
1310,120 W. 9th St.  Upland,,California,91786
1311,P.O. Box 506Sheridan,,Arizona,72150
1312,9900 View High Drive Kansas City,,Missouri,64134
1313,623 S. Henderson Fort Worth,,Texas,76104
1314,P.O. Box 307Moultrie,,Georgia,31776
1315,625 Otay Lakes Road Chula Vista,,California,91913
1316,101 Hurdle Dr Chesapeake,,Virginia,23322
1317,1665 St. Hwy 17 South Hamilton,,Alabama,35570
1318,2754 Elliot Family Parkway Dawsonville,,Georgia,30534
1319,270 Hercules Dr. Sparks,,Nevada,89436
1320,521 E Queen Street Inglewood,,California,90061
1321,127 Hall Road Signal Mountain,,Tennessee,37377
1322,3702  29th  ST San Diego,,California,92104
1323,575 W. CR 175 South PO Box 6 Connersville,,Indiana,47331
1324,2501 21st. avenue north birmingham,,Alabama,35234
1325,1521 E. Home Rd. Springfield,,Ohio,45503
1326,2101 E. Washington St. Urbana,,Illinois,61902
1327,208 W. 18th Str Auburn,,Indiana,46706
1328,4721 S. Memorial Tulsa,,Oklahoma,74145
1329,2304 Verona PL. Mufrfreesboro,,Tennessee,37130
1330,500 S. Semoran Orlando,,Florida,32807
1331,15750 Vineyard Blvd Morgan Hill,,California,95037
1332,4050 Lake Washington Road Melbourne,,Florida,32934
1333,60 Mother's Home Church Rd. Colquitt,,Georgia,39837
1334,2105 Newpoint Place Lawrenceville,,Georgia,30043
1335,3002 South Denley Dr. Dallas,,Texas,75216
1336,4500 N. Beach st. Fort Worth,,Texas,76137
1337,1401 Azalea Sweeny,,Texas,77480
1338,104 1st St. S.E. Hayfield,,Minnesota,55940
1339,2730 Haskell St St. Petersburg,,Florida,33704
1340,410 Main St. Calhoun,,Kentucky,42327
1341,5 pursuit aliso viejo,,California,92656
1342,1306 East 51st Odessa,,Texas,79762
1343,173 Roosevelt Parkway Jackson,,Tennessee,38301
1344,8645 Walnut Avenue Pensacola,,Florida,32534
1345,311 S.  W. 20th Street Trenton,,Missouri,64683
1346,34784 Yucaipa Blvd. Yucaipa,,California,92399
1347,3101 Curtis Rd Nashville,,Tennessee,37218
1348,40141 State Highway 6 Emily,,Minnesota,56447
1349,1264 E. Isabella Midland,,Michigan,48640
1350,207 East Ohio Chicago,,Illinois,60611
1351,411 4th Street Velma,,Oklahoma,73491
1352,199 Stewart Lp Bald Knob,,Arkansas,72010
1353,8152 McFadden Ave Westminster,,California,92683
1354,13131 W. Spanish Garden Drive Sun City West,,Arizona,85375
1355,27020 Kanis rd. Little Rock,,Arkansas,72223
1356,2400 W 15th St Panama City,,Florida,32401
1357,4413 E. Pages Lane Louisville,,Kentucky,40272
1358,141 Industrial Street San Francisco,,California,94012
1359,3875 South Staples Corpus Christi,,Texas,78411
1360,P.O. Box 944Sterling Heights,,Michigan,48311
1361,820 Stadium Dr.  Ada,,Oklahoma,74820
1362,P.O. Box 278Abita Springs,,Louisiana,70420
1363,115 Indiana Ave. Iowa Falls,,Iowa,50126
1364,5101 S. Keeler Ave Chicago,,Illinois,60632
1365,640 Lucabaugh Mill Road Westminster,,Maryland,21157
1366,2408 Summer Shade Road Summer Shade,,Kentucky,42166
1367,407 N. 7th La Grange,,Missouri,63448
1368,14890 Private Drive 1021 St James,,Missouri,65559
1369,206 N. Webster Spring Hill,,Kansas,66083
1370,202 S Hazeldell Crandon,,Wisconsin,54520
1371,P.O. Box 4117Chico,,California,95927
1372,117 limestone fordland,,Missouri,56562
1373,309 N. highway 707 Merkel,,Texas,79536
1374,5101 16th Ave SW Cedar Rapids,,Iowa,52404
1375,187 E 13th St. Idaho Falls,,Idaho,83404
1376,1924 Ave E Council Bluffs,,Iowa,51501
1377,307 Casey Wood Street Georgiana,,Alabama,36033
1378,8584 Kramer Bowling Green,,Ohio,45606
1379,3535 E. Red Bridge Road Kansas City,,Missouri,64137
1380,3600 Lost Lane De Pere,,Wisconsin,54115
1381,2560 Progress Street Vista,,California,92083
1382,1349 Yosemite Circle Oakley,,California,94561
1383,202 Old Sugar Creek Rd. Fenton,,Missouri,63026
1384,2408 Creswell Rd. Bel Air,,Maryland,21015
1385,735 Reed St Nashville,,Michigan,49073
1386,23 Maple Street Jeffersonville,,Ohio,43128
1387,14381 Joliet Rd. Newark,,Illinois,60541
1388,630 N Bath Ave Oklahoma City,,Oklahoma,73117
1389,30633 Crag View Dr Dunsmuir,,California,96025
1390,772 Brunstetter Rd SW Warren,,Ohio,44481
1391,2101 Forsythe Avenue Monroe,,Louisiana,71201
1392,648 Elm St Sebewaing,,Michigan,48759
1393,9644 Cedar Street Bellflower,,California,90706
1394,962 King's Corner Road Sarepta,,Louisiana,71071
1395,622 N. Gilbert St Anaheim,,California,92801
1396,5511 South Harvard Tulsa,,Oklahoma,74135
1397,2332 W. 27th St. Greeley,,Colorado,80634
1398,6100 Westside Saginaw Road Bay City,,Michigan,48706
1399,15 E. Mullan Ave Kellogg,,Idaho,83837
1400,222 S. Oak Archer City,,Texas,76351
1401,610 S. Heald St. Wilmington,,Delaware,19801
1402,2315 43 Ave Phenix City,,Alabama,36870
1403,322 Iberia St Mt. Gilead,,Ohio,43338
1404,720 Miller St Carthage,,Illinois,62321
1405,3075 Hwy 75 Wetumka,,Oklahoma,74883
1406,5526 Harris St Austell,,Georgia,30135
1407,114 N. Paul St. Woodsfield,,Ohio,43793
1408,9535 E. Riggs Road Sun Lakes,,Arizona,85248
1409,402 N. 23 Edinburg,,Texas,78541
1410,4602 N. Peck Rd. El Monte,,California,91732
1411,5403 N. 2nd St Loves Park,,Illinois,61111
1412,2215 Grant Avenue Redondo Beach,,California,90278
1413,9482 Rd. 238 Terra Bella,,California,93270
1414,3642 Kay Drive Zanesville,,Ohio,43701
1415,830 Chicamauga Ave Knoxville,,Tennessee,37917
1416,645 Cleveland St Aumsville,,Oregon,97325
1417,28 Shaffer Hill Road Liberty,,Pennsylvania,16930
1418,300 Kaufman St Holgate,,Ohio,43527
1419,6933 Winder Highway Jefferson,,Georgia,30549
1420,3011 Yost Pearland,,Texas,77581
1421,282 West Shiloh Church Rd Stantonville,,Tennessee,38379
1422,403 S. Hayes Emmett,,Idaho,83617
1423,190 Maple Avenue Harleysville,,Pennsylvania,19438
1424,1330 East Taylor Rd. DeLand,,Florida,32724
1425,10430 Leer Road Posen,,Michigan,49776
1426,2010 Center St Deer Park,,Texas,77536
1427,1115 Lincoln  Norwood,,Colorado,81423
1428,7066 S County Road 231 Lake Butler,,Florida,32054
1429,6180 E. Pima Tucson,,Arizona,85712
1430,9485 N Maple St Hayden,,Idaho,83835
1431,5217 W. County Rd 1075 South Carlisle,,Indiana,47838
1432,6914 Wurzbach Road San Antonio,,Texas,78240
1433,114 North Paul St Woodsfield,,Ohio,43793
1434,P.O. Box 665Warrenton,,Virginia,20188
1435,6529 Bantam Lake Circle San Diego,,California,92119
1436,20774 County Rd. 12S Foley,,Alabama,36535
1437,P.O. Box 217Goldfield,,Iowa,50542
1438,3170 Airmans Dr #2029 QCS Ft. Pierce,,Florida,34946
1439,200 E 1st Street Mesa,,Arizona,85201
1440,1355 Theodore Place Erlanger,,Kentucky,41018
1441,4100 South Manhattan Ave Tampa,,Florida,33611
1442,206 Old Leitchfield Road Clarkson,,Kentucky,42726
1443,6108 Rockwell Rd Amarillo,,Texas,79118
1444,1109 houston wilson,,Texas,79381
1445,P.O. Box 395Brookhaven,,Mississippi,39602
1446,147 Edwards St Newton,,Alabama,36352
1447,9857 Main Street Goodman,,Mississippi,39079
1448,72133 C.R. 388 South Haven,,Michigan,49090
1449,6200 Washington Ave Evansville,,Indiana,47715
1450,53 S Center Street Rossville,,Georgia,30741
1451,231 South Ave Talmadge,,Ohio,44278
1452,3037 County Road 143 Town Creek,,Alabama,35672
1453,4184 East Patterson Road Dayton,,Ohio,45430
1454,7001 Far Hills Ave. Dayton,,Ohio,45459
1455,3148 Franklin Rd Murfreesboro,,Tennessee,37128
1456,1800 Park Rd Jackson,,Michigan,49203
1457,P.O. Box 13426Tallahassee,,Florida,32317
1458,611 Robert Fulton Hwy  Quarryville,,Pennsylvania,17566
1459,1911 Waltonia Dr Montrose,,California,91020
1460,1819 Beers Rd Granville Summit,,Pennsylvania,16926
1461,910 W. Main Olney,,Texas,76374
1462,1061 Bartlett Rd Harborcreek,,Pennsylvania,16421
1463,P.O. Box 777Westlake,,Louisiana,70669
1464,521 1st  SE Cairo,,Georgia,39828
1465,490 Morrow St Dresden,,Tennessee,38225
1466,2626 Armada Street Herndon,,Virginia,20171
1467,7673 Hwy 199 West Springtown,,Texas,76082
1468,4200 Township Avenue Simi Valley,,California,93063
1469,1590 W Temperance Rd Temperance,,Michigan,48182
1470,1600 Huntsville Road Florence,,Alabama,35630
1471,P.O. Box 396Hurley,,Mississippi,39555
1472,2302 1/2 E. 11th Street Davenport,,Iowa,52803
1473,124 E. Howard St. Colfax,,Iowa,50054
1474,5823 Ledbetter Street Shreveport,,Louisiana,71108
1475,P.O. Box 136Mountain City,,Tennessee,37683
1476,1330 Lowry Hollow Road Portsmouth,,Ohio,45662
1477,14957 Hwy 231/431 N Hazel Green,,Alabama,35750
1478,500 North Berry Road Norman,,Oklahoma,73071
1479,2400 South Broad Street Philadelphia,,Pennsylvania,19145
1480,50955 Seaden Drive Chesterfield Twp.,,Michigan,48047
1481,915 Hwy 850 Grayson,,Louisiana,71435
1482,3636 Pinehill Wy. Antelope,,California,95843
1483,545 Rock Springs Road Lawrenceville,,Georgia,30043
1484,221 E. 320th St.  Willowick,,Ohio,44095
1485,908 Monroe Street Nashville,,Tennessee,37208
1486,6423 Hwy 171 DeRidder,,Louisiana,70634
1487,5835 Shasta Way Klamath Falls,,Oregon,97603
1488,8866 piegon roost rd. olive branch,,Mississippi,38654
1489,11517 Farm Road 185 Fairgrove,,Missouri,65648
1490,441 Ledbetter Rd Xenia,,Ohio,45385
1491,205 N Davis Chico,,Texas,76431
1492,5605 NW 29th street Margate,,Florida,33063
1493,425 N. Donegan Ave Kissimmee,,Florida,34741
1494,2805 Sugar Pine Ct Harlingen,,Texas,78550
1495,629 S. Broadway Georgetown,,Kentucky,40324
1496,16700 NE 95th Street Redmond,,Washington,98052
1497,17065 FM 455 Forestburg,,Texas,76239
1498,4705 Grove Street Marysville,,Washington,98270
1499,1386 hwy 144  P.O.Box 374 ohatchee,,Alabama,36271
1500,212 MacDade Blvd. Collingdale,,Pennsylvania,19023
1501,7890 Dittmer Ridge Rd. Dittmer,,Missouri,63023
1502,P.O. Box 429Neosho,,Missouri,64850
1503,972 Hwy 1207 Deville,,Louisiana,71328
1504,P.O. Box 257Elmhurst,,Illinois,60126
1505,3121 Didlake Road Crystal Springs,,Mississippi,39059
1506,1365 Monroe Blvd. South Haven,,Michigan,49090
1507,3001 Forest Ridge Dr. Bedford,,Texas,76180
1508,2409 Clearwater Rd Saint Cloud,,Minnesota,56301
1509,104 PR 4325 Hondo,,Texas,78861
1510,304 E. Central Ave. Valdosta,,Georgia,31601
1511,15440 King Street Belle Haven,,Virginia,23306
1512,P.O. Box 1150Trussville,,Alabama,35173
1513,2425 FM 1704 Elgin,,Texas,78621
1514,408 Front St Vanceburg,,Kentucky,41179
1515,1102 Hall Street Owensboro,,Kentucky,42303
1516,69 Central Ave Wellsboro,,Pennsylvania,16901
1517,204 E College St Athens,,Tennessee,37303
1518,1200 Roberts Cutoff Ft Worth,,Texas,76114
1519,3843 Shelbyville Hiway S. Murfreesboro,,Tennessee,37127
1520,P.O. Box 2439Abilene,,Texas,79604
1521,9114 Miles Park Avenue Cleveland,,Ohio,44105
1522,2289 N. Hercules Ave Clearwater,,Florida,33763
1523,P.O. Box 4504Springfield,,Illinois,62708
1524,3621 Cabinhill Lane Versailles,,Kentucky,40383
1525,9270 Bruceville Road Elk Grove,,California,95758
1526,7900 Braygreen Rd Laurel,,Maryland,20707
1527,23910 70th Ave E (NOT FOR MAIL) Graham,,Washington,98344
1528,311 Myers St. Seymour,,Indiana,47274
1529,2005 Buford,,Georgia,30519
1530,1953 Old Hwy 31 Birmingham,,Alabama,35244
1531,1188 N. Market St Paris,,Tennessee,38242
1532,1301 n main st lake bridgeport,,Texas,76426
1533,49 S. 2nd Street Cressona,,Pennsylvania,17929
1534,27039 Hwy 5 Woodstock,,Alabama,35188
1535,14199 Hwy 278 W Attalla,,Alabama,35954
1536,1926 W Hwy 22 Troy,,Tennessee,38260
1537,15065 Palmdale Rd Victorville,,California,92392
1538,5607 Dashwood St. Houston,,Texas,77081
1539,173 cord 704 cullman,,Alabama,35055
1540,807 China Grove Rd. Jayess,,Mississippi,39641
1541,15919 Ridge Park Dr. Houston,,Texas,77095
1542,10505 SE 85th Ave Happy Valley,,Oregon,97086
1543,810 Bourne Ave Somerset,,Kentucky,42501
1544,1 Mountain View Rd. Lynchburg,,Virginia,24502
1545,8510 Fowler Ave Baltimore,,Maryland,21234
1546,7115 Shoup Ave. West Hills,,California,91306
1547,609 W. Gurley St. Prescott,,Arizona,86305
1548,6703 Rte 321 East Kane,,Pennsylvania,16735
1549,200 Lockhaven Pt Hot Springs,,Arkansas,71913
1550,2805 N Raguet Lufkin,,Texas,75904
1551,509 W Berckman St Fruitland Park,,Florida,34731
1552,2864 Old Britain Cir Chattanooga,,Tennessee,37421
1553,3206 searchwood dr jacksonville,,Florida,32277
1554,420 Park Ave Delaware,,Ohio,43015
1555,9226 Chesterbrook Ct. Indianapolis,,Indiana,46240
1556,9336 D Forestville,,Maryland,20774
1557,1200 N. North Ave. Fairmont,,Minnesota,56031
1558,201 South Texas Ave. Howe,,Oklahoma,74940
1559,P.O. Box 1630Lindale,,Texas,75771
1560,P.O. Box 737Taylorville,,Illinois,62540
1561,4936 HWY 231 North Shelbyville,,Tennessee,37160
1562,777 Stoutsville,,Ohio,43154
1563,270 N. 5th Ave. Piggott,,Arkansas,72454
1564,3203 Boetthcer Drive Kilgore,,Texas,75662
1565,223 Massachusetts Avenue Pensacola,,Florida,32503
1566,3200 W.Loop1604South San Antonio,,Texas,78245
1567,1541 South 7th Street Ironton,,Ohio,45638
1568,8105 Douglas Ave Des Moines,,Iowa,50322
1569,P.O. Box 249DeSoto,,Texas,75123
1570,205 S. 18th St. Blair,,Nebraska,68008
1571,7555 old military Rd bremerton,,Washington,98311
1572,1250 Beville Rd. Daytona Beach,,Florida,32114
1573,P.O. Box 74Ozone,,Arkansas,72854
1574,2124 North Dean Road Orlando,,Florida,32817
1575,2517 N. 107th Avenue Avondale,,Arizona,85323
1576,334 West Dean St Virden,,Illinois,62690
1577,577 East Gordon Rd Newnan,,Georgia,30263
1578,11688 Mill Rd Cincinnati,,Ohio,45240
1579,1315 Dell Dale Ave. Channelview,,Texas,77530
1580,21304 Conser Road Heavener,,Oklahoma,74937
1581,2925 South Crater Rd. Petersburg,,Virginia,23805
1582,15 Singleton Ct Madison,,Wisconsin,53711
1583,475 Florin Road Sacramento,,California,95831
1584,43 Monroe Street Westminster,,Maryland,21157
1585,211 SLazy Lane Clute,,Texas,77531
1586,43210 Gingham St. Lancaster,,California,93535
1587,1259 Courthouse Rd Stafford,,Virginia,22554
1588,2123 9th Street Lubbock,,Texas,79408
1589,244 Osceola Court Winter park,,Florida,32789
1590,P.O. Box 8Elgin,,Oregon,97827
1591,10255 Noble Ave Brooklyn Park,,Minnesota,55443
1592,2600 Lewis Lane Owensboro,,Kentucky,42301
1593,7800 Bissonnet Houston,,Texas,77074
1594,1620 Locust Colorado City,,Texas,79512
1595,P.O. Box 1152Big Sandy,,Texas,75755
1596,7727 Cedar Dr Colcord,,Oklahoma,74438
1597,55 Kings Way Sierra Vista,,Arizona,85635
1598,628 Church St. Alva,,Oklahoma,73717
1599,2300 bancroft drive spring valley,,California,91977
1600,4930 Old Lohman Rd. Jefferson City,,Missouri,65109
